UF,SIGLA,POPULACAO_2023
Acre,AC,830018
Alagoas,AL,3127683
Amapá,AP,733759
Amazonas,AM,3941613
Bahia,BA,14141626
Ceará,CE,8794957
Distrito Federal,DF,2817381
Espírito Santo,ES,3833712
Goiás,GO,7056495
Maranhão,MA,6775699
Mato Grosso,MT,3658649
Mato Grosso do Sul,MS,2757013
Minas Gerais,MG,20539989
Pará,PA,8120131
Paraíba,PB,3974687
Paraná,PR,11444380
Pernambuco,PE,9058931
Piauí,PI,3271199
Rio de Janeiro,RJ,16055174
Rio Grande do Norte,RN,3302729
Rio Grande do Sul,RS,10882965
Rondônia,RO,1581196
Roraima,RR,636707
Santa Catarina,SC,7610361
São Paulo,SP,44411238
Sergipe,SE,2210004
Tocantins,TO,1511460
